experiment,game,method,seed,success,restarts,final_reward_mean
restart,stag_hunt,lola_style,31,1,0,3.9003935249689627
restart,stag_hunt,lola_style,32,1,0,3.8728799261912146
restart,stag_hunt,lola_style,33,1,2,3.8626881015638097
restart,stag_hunt,lola_style,34,1,0,3.900093353669477
restart,stag_hunt,lola_style,35,1,2,3.8888158440977336
restart,stag_hunt,lola_style,36,1,0,3.858143097958797
restart,stag_hunt,lola_style,37,1,1,3.863630033195891
restart,stag_hunt,lola_style,38,1,1,3.873545217381144
restart,stag_hunt,lola_style,39,1,1,3.8898151604547997
restart,stag_hunt,lola_style,40,1,2,3.8583169794710708
restart,stag_hunt,lola_style,41,1,2,3.709783348694983
restart,stag_hunt,lola_style,42,1,0,3.8936980032870254
restart,stag_hunt,lola_style,43,1,1,3.909529588287242
restart,stag_hunt,lola_style,44,1,5,3.8619377130958954
restart,stag_hunt,lola_style,45,1,0,3.837326208600273
restart,stag_hunt,lola_style,46,1,1,3.8583842781204174
restart,stag_hunt,lola_style,47,1,4,3.878981201327821
restart,stag_hunt,lola_style,48,1,0,3.869045760342632
restart,stag_hunt,lola_style,49,1,6,3.759338076657323
restart,stag_hunt,lola_style,50,1,5,3.8773479223768397
restart,stag_hunt,lola_style,51,1,1,3.7834999078954086
restart,stag_hunt,lola_style,52,1,0,3.754366612218977
restart,stag_hunt,lola_style,53,1,0,3.8416675688444797
restart,stag_hunt,lola_style,54,1,0,3.86566889936686
restart,stag_hunt,lola_style,55,1,0,3.901510574518726
restart,stag_hunt,lola_style,56,1,0,3.806586143676147
restart,stag_hunt,lola_style,57,1,5,3.884501460802439
restart,stag_hunt,lola_style,58,1,0,3.7092631483846183
restart,stag_hunt,lola_style,59,1,1,3.895724547244697
restart,stag_hunt,lola_style,60,1,3,3.810003920183428
restart,stag_hunt,lola_style,61,1,0,3.877627842285933
restart,stag_hunt,lola_style,62,1,1,3.820325458173763
restart,stag_hunt,lola_style,63,1,0,3.7577642985728907
restart,stag_hunt,lola_style,64,1,0,3.8613039406453495
restart,stag_hunt,lola_style,65,1,2,3.8750874609408124
restart,stag_hunt,lola_style,66,1,0,3.8850602915632857
restart,stag_hunt,lola_style,67,1,4,3.847774904685869
restart,stag_hunt,lola_style,68,1,7,3.7847323049613713
restart,stag_hunt,lola_style,69,1,0,3.8802374351822078
restart,stag_hunt,lola_style,70,1,1,3.888660796643107
restart,stag_hunt,lola_style,71,1,0,3.8294254427445713
restart,stag_hunt,lola_style,72,1,0,3.880326990261133
restart,stag_hunt,lola_style,73,1,0,3.834696096940175
restart,stag_hunt,lola_style,74,1,7,3.894298305817185
restart,stag_hunt,lola_style,75,1,0,3.8880760202313494
restart,stag_hunt,lola_style,76,1,0,3.8242972651799896
restart,stag_hunt,lola_style,77,1,1,3.8726053193115844
restart,stag_hunt,lola_style,78,1,1,3.8042818453788443
restart,stag_hunt,lola_style,79,1,1,3.864196729074898
restart,stag_hunt,lola_style,80,1,2,3.8739231866499058
restart,stag_hunt,lola_style,81,1,0,3.805177107556915
restart,stag_hunt,lola_style,82,1,1,3.87889839714179
restart,stag_hunt,lola_style,83,1,0,3.8687182354867247
restart,stag_hunt,lola_style,84,1,3,3.833880362176675
restart,stag_hunt,lola_style,85,1,2,3.8785594484580024
restart,stag_hunt,lola_style,86,1,1,3.7864430976690118
restart,stag_hunt,lola_style,87,1,1,3.7912949551079347
restart,stag_hunt,lola_style,88,1,2,3.8786157946678728
restart,stag_hunt,lola_style,89,1,1,3.8229680212919925
restart,stag_hunt,lola_style,90,1,0,3.8606702584556754
restart,stag_hunt,lola_style,91,1,2,3.6751301737451163
restart,stag_hunt,lola_style,92,1,1,3.8412803875073407
restart,stag_hunt,lola_style,93,1,1,3.896399289580242
restart,stag_hunt,lola_style,94,1,0,3.803818427479849
restart,stag_hunt,lola_style,95,1,1,3.8929788491267936
restart,stag_hunt,lola_style,96,1,0,3.886323556118893
restart,stag_hunt,lola_style,97,1,2,3.8193661096252143
restart,stag_hunt,lola_style,98,1,1,3.8502577812499243
restart,stag_hunt,lola_style,99,1,2,3.86235831622362
restart,stag_hunt,meta_mapg,0,1,1,3.713286028468316
restart,stag_hunt,meta_mapg,1,1,1,3.795718095266088
restart,stag_hunt,meta_mapg,2,1,2,3.8682494641801872
restart,stag_hunt,meta_mapg,3,1,0,3.5940982617631407
restart,stag_hunt,meta_mapg,4,1,1,3.856837555941758
restart,stag_hunt,meta_mapg,5,1,1,3.883847686134282
restart,stag_hunt,meta_mapg,6,1,1,3.860228846438545
restart,stag_hunt,meta_mapg,7,1,0,3.854124428030828
restart,stag_hunt,meta_mapg,8,1,1,3.870740142210453
restart,stag_hunt,meta_mapg,9,1,0,3.8706255512518144
restart,stag_hunt,meta_mapg,10,1,1,3.8914179801865716
restart,stag_hunt,meta_mapg,11,1,2,3.8716495891078524
restart,stag_hunt,meta_mapg,12,1,2,3.789821344429569
restart,stag_hunt,meta_mapg,13,1,0,3.723320353879991
restart,stag_hunt,meta_mapg,14,1,3,3.8594649606590874
restart,stag_hunt,meta_mapg,15,1,2,3.7927965597888234
restart,stag_hunt,meta_mapg,16,1,1,3.903345266883298
restart,stag_hunt,meta_mapg,17,1,0,3.7939391008232537
restart,stag_hunt,meta_mapg,18,1,0,3.8876777649589087
restart,stag_hunt,meta_mapg,19,1,1,3.368021686363501
restart,stag_hunt,meta_mapg,20,1,1,3.91816226114344
restart,stag_hunt,meta_mapg,21,1,1,3.786732875176253
restart,stag_hunt,meta_mapg,22,1,0,3.8633388383458156
