experiment,game,method,init_p1,init_p2,success,final_coop_min
basin,stag_hunt,standard_pg,0.365,0.05,0,0.009908490319795757
basin,stag_hunt,standard_pg,0.365,0.095,0,0.010958729091007128
basin,stag_hunt,standard_pg,0.365,0.14,0,0.01125170455171574
basin,stag_hunt,standard_pg,0.365,0.185,0,0.011930832766658747
basin,stag_hunt,standard_pg,0.365,0.22999999999999998,0,0.011892909527645556
basin,stag_hunt,standard_pg,0.365,0.27499999999999997,0,0.012145265055607177
basin,stag_hunt,standard_pg,0.365,0.32,0,0.012449507517916498
basin,stag_hunt,standard_pg,0.365,0.365,0,0.012505547315377251
basin,stag_hunt,standard_pg,0.365,0.41,0,0.012616131219100704
basin,stag_hunt,standard_pg,0.365,0.45499999999999996,0,0.013038121022731967
basin,stag_hunt,standard_pg,0.365,0.49999999999999994,0,0.012629837192997534
basin,stag_hunt,standard_pg,0.365,0.545,0,0.013371936068707018
basin,stag_hunt,standard_pg,0.365,0.5900000000000001,0,0.013447580034483863
basin,stag_hunt,standard_pg,0.365,0.635,0,0.013436353404913568
basin,stag_hunt,standard_pg,0.365,0.68,0,0.013458169352023475
basin,stag_hunt,standard_pg,0.365,0.725,0,0.014352260787974296
basin,stag_hunt,standard_pg,0.365,0.77,0,0.01600199002475509
basin,stag_hunt,standard_pg,0.365,0.8150000000000001,0,0.01602338078140274
basin,stag_hunt,standard_pg,0.365,0.86,0,0.020448984415034024
basin,stag_hunt,standard_pg,0.365,0.905,1,0.9588453293796265
basin,stag_hunt,standard_pg,0.365,0.95,1,0.9770086989355856
basin,stag_hunt,standard_pg,0.41,0.05,0,0.009686349235371865
basin,stag_hunt,standard_pg,0.41,0.095,0,0.010412123131465178
basin,stag_hunt,standard_pg,0.41,0.14,0,0.011740735964495047
basin,stag_hunt,standard_pg,0.41,0.185,0,0.01192051720121436
basin,stag_hunt,standard_pg,0.41,0.22999999999999998,0,0.012030885378627619
basin,stag_hunt,standard_pg,0.41,0.27499999999999997,0,0.012615570178560086
basin,stag_hunt,standard_pg,0.41,0.32,0,0.012540325196865596
basin,stag_hunt,standard_pg,0.41,0.365,0,0.012313613461859652
basin,stag_hunt,standard_pg,0.41,0.41,0,0.012889990390196554
basin,stag_hunt,standard_pg,0.41,0.45499999999999996,0,0.013216415357175517
basin,stag_hunt,standard_pg,0.41,0.49999999999999994,0,0.012888295328470778
basin,stag_hunt,standard_pg,0.41,0.545,0,0.012894421057950321
basin,stag_hunt,standard_pg,0.41,0.5900000000000001,0,0.013755736682172622
basin,stag_hunt,standard_pg,0.41,0.635,0,0.013127900453774754
basin,stag_hunt,standard_pg,0.41,0.68,0,0.01458706456111085
basin,stag_hunt,standard_pg,0.41,0.725,0,0.014867206019494662
basin,stag_hunt,standard_pg,0.41,0.77,0,0.016082984228848147
basin,stag_hunt,standard_pg,0.41,0.8150000000000001,0,0.015890732651294363
basin,stag_hunt,standard_pg,0.41,0.86,1,0.9404753626063296
basin,stag_hunt,standard_pg,0.41,0.905,1,0.9610433771113086
basin,stag_hunt,standard_pg,0.41,0.95,1,0.9696544093668572
basin,stag_hunt,standard_pg,0.45499999999999996,0.05,0,0.010007428175014859
basin,stag_hunt,standard_pg,0.45499999999999996,0.095,0,0.010983152474228873
basin,stag_hunt,standard_pg,0.45499999999999996,0.14,0,0.011568484334539999
basin,stag_hunt,standard_pg,0.45499999999999996,0.185,0,0.01180067645820297
basin,stag_hunt,standard_pg,0.45499999999999996,0.22999999999999998,0,0.01184914238439663
basin,stag_hunt,standard_pg,0.45499999999999996,0.27499999999999997,0,0.01279494959055509
basin,stag_hunt,standard_pg,0.45499999999999996,0.32,0,0.01230423170792137
basin,stag_hunt,standard_pg,0.45499999999999996,0.365,0,0.012807586519590628
basin,stag_hunt,standard_pg,0.45499999999999996,0.41,0,0.012886030029476582
basin,stag_hunt,standard_pg,0.45499999999999996,0.45499999999999996,0,0.01307207734031179
basin,stag_hunt,standard_pg,0.45499999999999996,0.49999999999999994,0,0.013023941301716373
basin,stag_hunt,standard_pg,0.45499999999999996,0.545,0,0.01293954276924751
basin,stag_hunt,standard_pg,0.45499999999999996,0.5900000000000001,0,0.01384917439875345
basin,stag_hunt,standard_pg,0.45499999999999996,0.635,0,0.014741973698746321
basin,stag_hunt,standard_pg,0.45499999999999996,0.68,0,0.016338017943725032
basin,stag_hunt,standard_pg,0.45499999999999996,0.725,0,0.014889323912984309
basin,stag_hunt,standard_pg,0.45499999999999996,0.77,0,0.016386855631064977
basin,stag_hunt,standard_pg,0.45499999999999996,0.8150000000000001,1,0.9497693107177965
basin,stag_hunt,standard_pg,0.45499999999999996,0.86,1,0.9569465833880676
basin,stag_hunt,standard_pg,0.45499999999999996,0.905,1,0.9662634958471598
basin,stag_hunt,standard_pg,0.45499999999999996,0.95,1,0.9735098557577803
basin,stag_hunt,standard_pg,0.49999999999999994,0.05,0,0.009715939082446725
basin,stag_hunt,standard_pg,0.49999999999999994,0.095,0,0.010928153293904733
basin,stag_hunt,standard_pg,0.49999999999999994,0.14,0,0.011673334632043727
basin,stag_hunt,standard_pg,0.49999999999999994,0.185,0,0.01162271346267919
basin,stag_hunt,standard_pg,0.49999999999999994,0.22999999999999998,0,0.012488613583579644
basin,stag_hunt,standard_pg,0.49999999999999994,0.27499999999999997,0,0.012441778876344255
basin,stag_hunt,standard_pg,0.49999999999999994,0.32,0,0.013359000534544235
basin,stag_hunt,standard_pg,0.49999999999999994,0.365,0,0.013390107696019239
basin,stag_hunt,standard_pg,0.49999999999999994,0.41,0,0.01310590942028655
basin,stag_hunt,standard_pg,0.49999999999999994,0.45499999999999996,0,0.01319188465005085
basin,stag_hunt,standard_pg,0.49999999999999994,0.49999999999999994,0,0.012928892907235352
basin,stag_hunt,standard_pg,0.49999999999999994,0.545,0,0.013402077311150687
basin,stag_hunt,standard_pg,0.49999999999999994,0.5900000000000001,0,0.014243514485138916
basin,stag_hunt,standard_pg,0.49999999999999994,0.635,0,0.013831826096373987
basin,stag_hunt,standard_pg,0.49999999999999994,0.68,0,0.016595739860689903
basin,stag_hunt,standard_pg,0.49999999999999994,0.725,0,0.016395693599389576
basin,stag_hunt,standard_pg,0.49999999999999994,0.77,0,0.05235827728789684
basin,stag_hunt,standard_pg,0.49999999999999994,0.8150000000000001,0,0.03504844046510725
basin,stag_hunt,standard_pg,0.49999999999999994,0.86,1,0.9638148967444881
basin,stag_hunt,standard_pg,0.49999999999999994,0.905,1,0.9687496147448376
basin,stag_hunt,standard_pg,0.49999999999999994,0.95,1,0.9695891280876399
basin,stag_hunt,standard_pg,0.545,0.05,0,0.009862721778834222
basin,stag_hunt,standard_pg,0.545,0.095,0,0.0112260267402124
basin,stag_hunt,standard_pg,0.545,0.14,0,0.011912279384363705
basin,stag_hunt,standard_pg,0.545,0.185,0,0.011994437519108683
basin,stag_hunt,standard_pg,0.545,0.22999999999999998,0,0.012759390284245602
basin,stag_hunt,standard_pg,0.545,0.27499999999999997,0,0.012475782445063765
basin,stag_hunt,standard_pg,0.545,0.32,0,0.012583188430871022
basin,stag_hunt,standard_pg,0.545,0.365,0,0.013103963391102999
basin,stag_hunt,standard_pg,0.545,0.41,0,0.012883956548958317
basin,stag_hunt,standard_pg,0.545,0.45499999999999996,0,0.013753469567827149
basin,stag_hunt,standard_pg,0.545,0.49999999999999994,0,0.013425138954285884
basin,stag_hunt,standard_pg,0.545,0.545,0,0.014722513379124696
basin,stag_hunt,standard_pg,0.545,0.5900000000000001,0,0.015593333349721196
basin,stag_hunt,standard_pg,0.545,0.635,0,0.015070944423556113
basin,stag_hunt,standard_pg,0.545,0.68,0,0.016896096708079702
basin,stag_hunt,standard_pg,0.545,0.725,0,0.020862434647409656
basin,stag_hunt,standard_pg,0.545,0.77,1,0.9495818706600766
basin,stag_hunt,standard_pg,0.545,0.8150000000000001,1,0.9591049445706669
basin,stag_hunt,standard_pg,0.545,0.86,1,0.9643203777297004
basin,stag_hunt,standard_pg,0.545,0.905,1,0.9646863791101634
basin,stag_hunt,standard_pg,0.545,0.95,1,0.9743325476157966
basin,stag_hunt,standard_pg,0.5900000000000001,0.05,0,0.009653867666978998
basin,stag_hunt,standard_pg,0.5900000000000001,0.095,0,0.011352735624478406
basin,stag_hunt,standard_pg,0.5900000000000001,0.14,0,0.01173585770844689
basin,stag_hunt,standard_pg,0.5900000000000001,0.185,0,0.012207084368381757
basin,stag_hunt,standard_pg,0.5900000000000001,0.22999999999999998,0,0.01224440537929496
basin,stag_hunt,standard_pg,0.5900000000000001,0.27499999999999997,0,0.012514858560342597
basin,stag_hunt,standard_pg,0.5900000000000001,0.32,0,0.013071014108559919
basin,stag_hunt,standard_pg,0.5900000000000001,0.365,0,0.013272230276534453
basin,stag_hunt,standard_pg,0.5900000000000001,0.41,0,0.013250439251941271
basin,stag_hunt,standard_pg,0.5900000000000001,0.45499999999999996,0,0.013079461997105187
basin,stag_hunt,standard_pg,0.5900000000000001,0.49999999999999994,0,0.014176446733860364
basin,stag_hunt,standard_pg,0.5900000000000001,0.545,0,0.015125485412588563
basin,stag_hunt,standard_pg,0.5900000000000001,0.5900000000000001,0,0.014855272668199393
basin,stag_hunt,standard_pg,0.5900000000000001,0.635,0,0.017141087644646613
basin,stag_hunt,standard_pg,0.5900000000000001,0.68,1,0.9519569989660503
basin,stag_hunt,standard_pg,0.5900000000000001,0.725,0,0.02045784095932091
basin,stag_hunt,standard_pg,0.5900000000000001,0.77,1,0.9646672833686089
basin,stag_hunt,standard_pg,0.5900000000000001,0.8150000000000001,1,0.9586702750682272
basin,stag_hunt,standard_pg,0.5900000000000001,0.86,1,0.9646271569005207
basin,stag_hunt,standard_pg,0.5900000000000001,0.905,1,0.9679523959025947
basin,stag_hunt,standard_pg,0.5900000000000001,0.95,1,0.9691598500688051
basin,stag_hunt,standard_pg,0.635,0.05,0,0.009940866895726513
basin,stag_hunt,standard_pg,0.635,0.095,0,0.01146651118921393
basin,stag_hunt,standard_pg,0.635,0.14,0,0.011585253028978414
basin,stag_hunt,standard_pg,0.635,0.185,0,0.012116686797612122
basin,stag_hunt,standard_pg,0.635,0.22999999999999998,0,0.01276999213932887
basin,stag_hunt,standard_pg,0.635,0.27499999999999997,0,0.012710433809653901
basin,stag_hunt,standard_pg,0.635,0.32,0,0.013412009610153833
basin,stag_hunt,standard_pg,0.635,0.365,0,0.01338574831132683
basin,stag_hunt,standard_pg,0.635,0.41,0,0.014946907667590409
basin,stag_hunt,standard_pg,0.635,0.45499999999999996,0,0.014568092036938608
basin,stag_hunt,standard_pg,0.635,0.49999999999999994,0,0.014724068213271843
basin,stag_hunt,standard_pg,0.635,0.545,0,0.015299427960082409
basin,stag_hunt,standard_pg,0.635,0.5900000000000001,0,0.01571041793730605
basin,stag_hunt,standard_pg,0.635,0.635,0,0.01746828703809042
basin,stag_hunt,standard_pg,0.635,0.68,0,0.018156467738977226
basin,stag_hunt,standard_pg,0.635,0.725,1,0.9559303010873574
basin,stag_hunt,standard_pg,0.635,0.77,1,0.9564201942042293
basin,stag_hunt,standard_pg,0.635,0.8150000000000001,1,0.9680387970661718
basin,stag_hunt,standard_pg,0.635,0.86,1,0.9720623506308128
basin,stag_hunt,standard_pg,0.635,0.905,1,0.968231219276101
basin,stag_hunt,standard_pg,0.635,0.95,1,0.9719960581351302
basin,stag_hunt,standard_pg,0.68,0.05,0,0.009932595449101522
basin,stag_hunt,standard_pg,0.68,0.095,0,0.011078237186341086
basin,stag_hunt,standard_pg,0.68,0.14,0,0.011929321412744172
basin,stag_hunt,standard_pg,0.68,0.185,0,0.01285270152662631
basin,stag_hunt,standard_pg,0.68,0.22999999999999998,0,0.012666385700155018
basin,stag_hunt,standard_pg,0.68,0.27499999999999997,0,0.012922723077007552
basin,stag_hunt,standard_pg,0.68,0.32,0,0.013383407234763398
basin,stag_hunt,standard_pg,0.68,0.365,0,0.014069041173617661
basin,stag_hunt,standard_pg,0.68,0.41,0,0.014478590288846325
basin,stag_hunt,standard_pg,0.68,0.45499999999999996,0,0.014152297414290076
basin,stag_hunt,standard_pg,0.68,0.49999999999999994,0,0.017842246864870324
basin,stag_hunt,standard_pg,0.68,0.545,0,0.015295651951998201
basin,stag_hunt,standard_pg,0.68,0.5900000000000001,0,0.021499919853928406
basin,stag_hunt,standard_pg,0.68,0.635,1,0.9612710782785592
basin,stag_hunt,standard_pg,0.68,0.68,1,0.9511041766313628
basin,stag_hunt,standard_pg,0.68,0.725,1,0.9439905011202511
basin,stag_hunt,standard_pg,0.68,0.77,1,0.9655473231498783
basin,stag_hunt,standard_pg,0.68,0.8150000000000001,1,0.9679454210451628
basin,stag_hunt,standard_pg,0.68,0.86,1,0.9687723690812144
basin,stag_hunt,standard_pg,0.68,0.905,1,0.9739167282284695
basin,stag_hunt,standard_pg,0.68,0.95,1,0.9754938186634498
basin,stag_hunt,standard_pg,0.725,0.05,0,0.010570160551267692
basin,stag_hunt,standard_pg,0.725,0.095,0,0.011222336368402487
basin,stag_hunt,standard_pg,0.725,0.14,0,0.012047738694219618
basin,stag_hunt,standard_pg,0.725,0.185,0,0.012786950407278466
basin,stag_hunt,standard_pg,0.725,0.22999999999999998,0,0.013520447700649843
basin,stag_hunt,standard_pg,0.725,0.27499999999999997,0,0.013442830082528287
basin,stag_hunt,standard_pg,0.725,0.32,0,0.013655878903240814
basin,stag_hunt,standard_pg,0.725,0.365,0,0.014207243915747972
basin,stag_hunt,standard_pg,0.725,0.41,0,0.01532753462281366
basin,stag_hunt,standard_pg,0.725,0.45499999999999996,0,0.015246409111509625
basin,stag_hunt,standard_pg,0.725,0.49999999999999994,0,0.03860366861394976
basin,stag_hunt,standard_pg,0.725,0.545,0,0.018523919974973546
basin,stag_hunt,standard_pg,0.725,0.5900000000000001,0,0.7807674395389872
basin,stag_hunt,standard_pg,0.725,0.635,1,0.956349296389226
basin,stag_hunt,standard_pg,0.725,0.68,1,0.9495663854764975
basin,stag_hunt,standard_pg,0.725,0.725,1,0.9602540157822651
basin,stag_hunt,standard_pg,0.725,0.77,1,0.9679159156145082
basin,stag_hunt,standard_pg,0.725,0.8150000000000001,1,0.9698323153234715
basin,stag_hunt,standard_pg,0.725,0.86,1,0.9718642665011987
basin,stag_hunt,standard_pg,0.725,0.905,1,0.9728532461579016
basin,stag_hunt,standard_pg,0.725,0.95,1,0.9713482199567349
basin,stag_hunt,standard_pg,0.77,0.05,0,0.010105377148848162
basin,stag_hunt,standard_pg,0.77,0.095,0,0.011292566431816089
basin,stag_hunt,standard_pg,0.77,0.14,0,0.012286381767655962
basin,stag_hunt,standard_pg,0.77,0.185,0,0.013343093699991095
basin,stag_hunt,standard_pg,0.77,0.22999999999999998,0,0.0141661610369064
basin,stag_hunt,standard_pg,0.77,0.27499999999999997,0,0.014960480970756803
basin,stag_hunt,standard_pg,0.77,0.32,0,0.014771199353030824
basin,stag_hunt,standard_pg,0.77,0.365,0,0.01808770106286134
basin,stag_hunt,standard_pg,0.77,0.41,0,0.016647362956292853
basin,stag_hunt,standard_pg,0.77,0.45499999999999996,0,0.01840419148443742
basin,stag_hunt,standard_pg,0.77,0.49999999999999994,0,0.02660575903012111
basin,stag_hunt,standard_pg,0.77,0.545,1,0.9570909969135089
basin,stag_hunt,standard_pg,0.77,0.5900000000000001,0,0.019551625612140033
basin,stag_hunt,standard_pg,0.77,0.635,1,0.9648777729844294
basin,stag_hunt,standard_pg,0.77,0.68,1,0.967110171769408
basin,stag_hunt,standard_pg,0.77,0.725,1,0.9664981391505005
basin,stag_hunt,standard_pg,0.77,0.77,1,0.9696156253420274
basin,stag_hunt,standard_pg,0.77,0.8150000000000001,1,0.9725824034559899
basin,stag_hunt,standard_pg,0.77,0.86,1,0.972688885220357
basin,stag_hunt,standard_pg,0.77,0.905,1,0.9755829764092613
basin,stag_hunt,standard_pg,0.77,0.95,1,0.9751965403210864
basin,stag_hunt,standard_pg,0.8150000000000001,0.05,0,0.011143661829464045
basin,stag_hunt,standard_pg,0.8150000000000001,0.095,0,0.012013828542413604
basin,stag_hunt,standard_pg,0.8150000000000001,0.14,0,0.013057704431021914
basin,stag_hunt,standard_pg,0.8150000000000001,0.185,0,0.013644918035111545
basin,stag_hunt,standard_pg,0.8150000000000001,0.22999999999999998,0,0.014093233677945497
basin,stag_hunt,standard_pg,0.8150000000000001,0.27499999999999997,0,0.015171083093351526
basin,stag_hunt,standard_pg,0.8150000000000001,0.32,0,0.017597313534591128
basin,stag_hunt,standard_pg,0.8150000000000001,0.365,0,0.017283328203189185
basin,stag_hunt,standard_pg,0.8150000000000001,0.41,1,0.9561693401962422
