experiment,game,method,seed,budget,best_welfare,welfare_gap,cumulative_welfare_gap,payoff_dominant_found,first_hit_budget
restart_selection,stag_hunt,standard_pg,9,6,7.663244993326606,0.3367550066733944,5.711299119578719,1,2
restart_selection,stag_hunt,standard_pg,9,7,7.750645905353154,0.2493540946468462,5.960653214225565,1,2
restart_selection,stag_hunt,standard_pg,9,8,7.750645905353154,0.2493540946468462,6.210007308872411,1,2
restart_selection,stag_hunt,standard_pg,9,9,7.750645905353154,0.2493540946468462,6.4593614035192575,1,2
restart_selection,stag_hunt,standard_pg,9,10,7.750645905353154,0.2493540946468462,6.708715498166104,1,2
restart_selection,stag_hunt,standard_pg,9,11,7.750645905353154,0.2493540946468462,6.95806959281295,1,2
restart_selection,stag_hunt,standard_pg,9,12,7.750645905353154,0.2493540946468462,7.207423687459796,1,2
restart_selection,stag_hunt,standard_pg,10,1,3.8545984541729936,4.145401545827006,4.145401545827006,0,13
restart_selection,stag_hunt,standard_pg,10,2,3.9607046402345096,4.03929535976549,8.184696905592496,0,13
restart_selection,stag_hunt,standard_pg,10,3,3.974001338362525,4.025998661637475,12.21069556722997,0,13
restart_selection,stag_hunt,standard_pg,10,4,7.768231246792686,0.23176875320731405,12.442464320437285,1,4
restart_selection,stag_hunt,standard_pg,10,5,7.777760182947514,0.2222398170524862,12.664704137489771,1,4
restart_selection,stag_hunt,standard_pg,10,6,7.777760182947514,0.2222398170524862,12.886943954542257,1,4
restart_selection,stag_hunt,standard_pg,10,7,7.788469601586555,0.21153039841344512,13.098474352955702,1,4
restart_selection,stag_hunt,standard_pg,10,8,7.788469601586555,0.21153039841344512,13.310004751369146,1,4
restart_selection,stag_hunt,standard_pg,10,9,7.788469601586555,0.21153039841344512,13.52153514978259,1,4
restart_selection,stag_hunt,standard_pg,10,10,7.788469601586555,0.21153039841344512,13.733065548196034,1,4
restart_selection,stag_hunt,standard_pg,10,11,7.788469601586555,0.21153039841344512,13.944595946609478,1,4
restart_selection,stag_hunt,standard_pg,10,12,7.788469601586555,0.21153039841344512,14.156126345022923,1,4
restart_selection,stag_hunt,standard_pg,11,1,3.966736373884261,4.033263626115739,4.033263626115739,0,13
restart_selection,stag_hunt,standard_pg,11,2,3.974005757257671,4.025994242742329,8.059257868858069,0,13
restart_selection,stag_hunt,standard_pg,11,3,3.974005757257671,4.025994242742329,12.085252111600397,0,13
restart_selection,stag_hunt,standard_pg,11,4,3.974005757257671,4.025994242742329,16.111246354342725,0,13
restart_selection,stag_hunt,standard_pg,11,5,3.974005757257671,4.025994242742329,20.137240597085054,0,13
restart_selection,stag_hunt,standard_pg,11,6,3.974005757257671,4.025994242742329,24.163234839827382,0,13
restart_selection,stag_hunt,standard_pg,11,7,3.9760401009831514,4.023959899016848,28.18719473884423,0,13
restart_selection,stag_hunt,standard_pg,11,8,3.9760401009831514,4.023959899016848,32.21115463786108,0,13
restart_selection,stag_hunt,standard_pg,11,9,7.631016999358266,0.36898300064173384,32.58013763850281,1,9
restart_selection,stag_hunt,standard_pg,11,10,7.631016999358266,0.36898300064173384,32.949120639144546,1,9
restart_selection,stag_hunt,standard_pg,11,11,7.631016999358266,0.36898300064173384,33.31810363978628,1,9
restart_selection,stag_hunt,standard_pg,11,12,7.631016999358266,0.36898300064173384,33.687086640428014,1,9
restart_selection,stag_hunt,standard_pg,12,1,7.7359663652682755,0.2640336347317245,0.2640336347317245,1,1
restart_selection,stag_hunt,standard_pg,12,2,7.7359663652682755,0.2640336347317245,0.528067269463449,1,1
restart_selection,stag_hunt,standard_pg,12,3,7.7359663652682755,0.2640336347317245,0.7921009041951734,1,1
restart_selection,stag_hunt,standard_pg,12,4,7.7359663652682755,0.2640336347317245,1.056134538926898,1,1
restart_selection,stag_hunt,standard_pg,12,5,7.794294859825385,0.20570514017461505,1.261839679101513,1,1
restart_selection,stag_hunt,standard_pg,12,6,7.794294859825385,0.20570514017461505,1.467544819276128,1,1
restart_selection,stag_hunt,standard_pg,12,7,7.794294859825385,0.20570514017461505,1.673249959450743,1,1
