label,method,schedule,seed,final_coop_min,second_half_coop_mean,second_half_coop_std,success,final_lambda
pg,standard_pg,constant,63,0.9970405172662556,0.9961992346085047,0.0006374531566971975,1,0.0
pg,standard_pg,constant,64,0.9970223904543288,0.9962429116421563,0.0005746650589753087,1,0.0
pg,standard_pg,constant,65,0.0013623519053281513,0.0017586390671627445,0.000280437101251283,0,0.0
pg,standard_pg,constant,66,0.0013610616895459611,0.001757482535717579,0.0002813897735423957,0,0.0
pg,standard_pg,constant,67,0.00135214735992444,0.0017411348888125224,0.0002746792423268911,0,0.0
pg,standard_pg,constant,68,0.9970690988939775,0.9962320910308117,0.000599001701910736,1,0.0
pg,standard_pg,constant,69,0.0013778105323244093,0.0017862399765985458,0.00029082231389381013,0,0.0
pg,standard_pg,constant,70,0.0013753161317242013,0.0017789798574556254,0.0002865388780406185,0,0.0
pg,standard_pg,constant,71,0.0013560128217367606,0.0017486722073581488,0.0002783211369067436,0,0.0
pg,standard_pg,constant,72,0.9971803382729021,0.9962234230581225,0.0006904888956199676,1,0.0
pg,standard_pg,constant,73,0.001331303256427364,0.0016996167009560382,0.00026058493759913555,0,0.0
pg,standard_pg,constant,74,0.001404268281083822,0.0018321791174269108,0.0003060936748691026,0,0.0
pg,standard_pg,constant,75,0.0013873586827455012,0.0018003665911519298,0.000293490868417005,0,0.0
pg,standard_pg,constant,76,0.0013635416983925925,0.0017618073841753077,0.00028286512435866083,0,0.0
pg,standard_pg,constant,77,0.0013584321652863028,0.0017493645865956757,0.0002753412441237532,0,0.0
pg,standard_pg,constant,78,0.0013702220980335782,0.0017606669422805905,0.00027708398102426027,0,0.0
pg,standard_pg,constant,79,0.9969832946115627,0.9960513002540335,0.00067456918885111,1,0.0
meta_mapg_constant,meta_mapg,constant,0,0.001368875100836471,0.0017645867356374315,0.0002799852445259899,0,1.5
meta_mapg_constant,meta_mapg,constant,1,0.9970051487167216,0.99595278573177,0.0007703774174284268,1,1.5
meta_mapg_constant,meta_mapg,constant,2,0.001397489225541169,0.001814191651556983,0.0002970813598904685,0,1.5
meta_mapg_constant,meta_mapg,constant,3,0.9969506096670375,0.9959212415210368,0.0007467487181684786,1,1.5
meta_mapg_constant,meta_mapg,constant,4,0.996999557957835,0.9962586297762109,0.0005184817861683068,1,1.5
meta_mapg_constant,meta_mapg,constant,5,0.0013847787913419984,0.001796748184243842,0.0002922922769863728,0,1.5
meta_mapg_constant,meta_mapg,constant,6,0.0013633423983004326,0.001760813328976763,0.00028192483872593134,0,1.5
meta_mapg_constant,meta_mapg,constant,7,0.9973235534625813,0.9964675893177142,0.0005950154050219658,1,1.5
meta_mapg_constant,meta_mapg,constant,8,0.9972899340389759,0.996321604422917,0.0006909099888536949,1,1.5
meta_mapg_constant,meta_mapg,constant,9,0.0013733328709790663,0.0017742873769461104,0.0002851823758686614,0,1.5
meta_mapg_constant,meta_mapg,constant,10,0.9972485222910754,0.9965050339974837,0.0005058618330006353,1,1.5
meta_mapg_constant,meta_mapg,constant,11,0.001358407583485652,0.0017525714218791883,0.0002796137111790638,0,1.5
meta_mapg_constant,meta_mapg,constant,12,0.9971524147252633,0.9963091927095995,0.000579168135398464,1,1.5
meta_mapg_constant,meta_mapg,constant,13,0.9971257622298312,0.9963862351527507,0.0006301894052167865,1,1.5
meta_mapg_constant,meta_mapg,constant,14,0.0013663476554665508,0.0017599103975909603,0.00027819202422264686,0,1.5
meta_mapg_constant,meta_mapg,constant,15,0.9970556126272477,0.9962073509653548,0.0005636166506794961,1,1.5
meta_mapg_constant,meta_mapg,constant,16,0.0014119364596550468,0.0018451663841657635,0.00031021904146474356,0,1.5
meta_mapg_constant,meta_mapg,constant,17,0.0013383178408350213,0.001714009308712749,0.00026673501890605455,0,1.5
meta_mapg_constant,meta_mapg,constant,18,0.0013589212724549097,0.0017522220742739,0.0002780148291653307,0,1.5
meta_mapg_constant,meta_mapg,constant,19,0.0013304294790031004,0.0017018923697667294,0.0002620199464408082,0,1.5
meta_mapg_constant,meta_mapg,constant,20,0.9971206198005674,0.9961625907508266,0.0005836962623638428,1,1.5
meta_mapg_constant,meta_mapg,constant,21,0.9970717228812079,0.9961578187675091,0.0006056283411773987,1,1.5
meta_mapg_constant,meta_mapg,constant,22,0.9968721413449151,0.9960547999706318,0.0006890342451082417,1,1.5
meta_mapg_constant,meta_mapg,constant,23,0.001359768808515578,0.0017549286497622117,0.0002803938180381818,0,1.5
