experiment,game,method,trajectory_id,init_p1,init_p2,step,coop_p1,coop_p2,success
trajectory,stag_hunt,standard_pg,0,0.08,0.08,42,0.023554259768704722,0.023545657821238616,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,44,0.022833268156669584,0.022819626027094763,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,46,0.02216106774299086,0.022140367277889778,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,48,0.021526571328273587,0.021508259015924968,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,50,0.02092696778717901,0.020921126762765224,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,52,0.020367633001518812,0.02036855789568886,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,54,0.01984559991892231,0.019840391108411855,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,56,0.019348629148185595,0.019345588069327683,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,58,0.01888396474010833,0.018874702763537473,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,60,0.018444272568343578,0.018427719565871185,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,62,0.018024820648385547,0.018006569776867976,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,64,0.01768393298038756,0.017664091679573887,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,66,0.017305442093354773,0.017282738128385544,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,68,0.01693907196559687,0.01692012644299398,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,70,0.016589914205160036,0.016575092841252248,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,72,0.016261453033701537,0.016243361438595918,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,74,0.015944612621738997,0.01592660286613876,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,76,0.015691549007049558,0.01567298166608346,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,78,0.015497217800201312,0.015477511723589204,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,80,0.01521245526144362,0.015195657154236616,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,82,0.014940228080054676,0.014924548180125763,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,84,0.014678864658566557,0.014664229180977135,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,86,0.01447055914877003,0.014458816646446956,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,88,0.014226635416615785,0.014217169363125365,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,90,0.013993707542334418,0.013983188257916354,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,92,0.013767850470704975,0.01375897663132273,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,94,0.013551408431922327,0.013541547284424325,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,96,0.013341773497409518,0.013332616543796125,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,98,0.01313913616161385,0.013131037593959907,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,100,0.012943898064361666,0.012936035472070197,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,102,0.012755286716638012,0.012746915766795423,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,104,0.012572130242600912,0.012565768832474603,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,106,0.012395330526436873,0.01238880221589663,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,108,0.012259188203065794,0.012255155167916865,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,110,0.012092556453065175,0.012088305904803011,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,112,0.011930173072784885,0.011926664175264912,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,114,0.011774721122313566,0.0117688631817329,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,116,0.011621952908793974,0.011616836118229671,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,118,0.01147344714105752,0.01146989878719089,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,120,0.01132948948243315,0.011327422827151592,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,122,0.011189866135802593,0.011187578133789781,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,124,0.011054556263788227,0.011051532230412945,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,126,0.01092241989238566,0.010919981515168828,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,128,0.010794091883159329,0.010791210767977557,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,130,0.01066851311814921,0.010666915344585656,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,132,0.01054764968219688,0.01054442857756566,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,134,0.010428645125785988,0.010425496007038135,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,136,0.010312968783553231,0.010309439057568832,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,138,0.010199602817000244,0.010196807807424114,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,139,0.010144414112221735,0.010141216003685486,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,0,0.07791297538515883,0.2568165659714665,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,2,0.07011638346836713,0.19591353218046628,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,4,0.06606115833665663,0.16117267239420288,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,6,0.06031231831114035,0.13212810895239283,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,8,0.05524509811092839,0.11121102408297302,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,10,0.05211886923426543,0.09820454456191774,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,12,0.04893614481140706,0.08700106149592711,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,14,0.04582726019556754,0.07787520823221478,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,16,0.04319185459460012,0.0705485168284411,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,18,0.04056649451152537,0.06410214999995033,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,20,0.03816730149006365,0.058566473125015325,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,22,0.036211042084192395,0.05417307760432982,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,24,0.0348675453643705,0.050951317457791606,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,26,0.03316016936624138,0.04747326440084684,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,28,0.03172866030427238,0.044652797990038164,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,30,0.03044671126334786,0.04216971315721312,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,32,0.029378530391692588,0.04012152449571463,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,34,0.028721586216058033,0.03869277354867813,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,36,0.027708653019905303,0.03687357151020981,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,38,0.026771627511241156,0.035242589801354716,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,40,0.025814529452528667,0.03365131185142388,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,42,0.025017920514073266,0.03232837344565721,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,44,0.02429362230451568,0.03108336094838777,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,46,0.02352989011292352,0.029858972418642632,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,48,0.022826089028250427,0.028722019832147623,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,50,0.022304082651596148,0.027869527591347986,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,52,0.021671218543063288,0.026906933891673625,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,54,0.021077107061197385,0.026014204486209665,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,56,0.02052396454989142,0.025173026216617846,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,58,0.01999958154407616,0.024389645338063932,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,60,0.019635687534629957,0.02380973627779292,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,62,0.019219121201139125,0.02319654809653284,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,64,0.01876585008340476,0.022545014631072387,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,66,0.018332186248281847,0.02193663886906288,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,68,0.017925532560484292,0.021359435522790463,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,70,0.017537507631466255,0.020813115016678246,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,72,0.017165617425994956,0.02030354797924396,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,74,0.016814531399582403,0.019815249124402693,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,76,0.016476273688097065,0.019357115809418075,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,78,0.01615409303323764,0.018919082885357062,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,80,0.01584704925262227,0.01850091013332795,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,82,0.01555370218314173,0.018099954097922113,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,84,0.015272764944755102,0.017719092117759745,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,86,0.01500134798172566,0.017356118371618153,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,88,0.014739123586661323,0.017010008060297555,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,90,0.014487241505556876,0.01667980275221721,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,92,0.01424804769298429,0.016360303726185684,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,94,0.014016300703223357,0.01605534462592409,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,96,0.013792516767360992,0.015762810201330114,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,98,0.01357669448379247,0.015483030914585756,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,100,0.013367594836033173,0.015214132419822298,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,102,0.013166588185096431,0.014955143804200216,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,104,0.012972959623507455,0.014705185101669755,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,106,0.012784965512163073,0.014464868000179596,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,108,0.012603767125637811,0.014232734444917789,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,110,0.012427859929976784,0.01400821336817175,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,112,0.012292222414503869,0.013832500443586923,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,114,0.012126114316164453,0.013622333266254269,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,116,0.011965450311191846,0.01341815044356681,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,118,0.011808338212210761,0.013223383090027586,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,120,0.011657028570400307,0.013033014027934683,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,122,0.011508824700643032,0.012848573991279297,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,124,0.01136437841571638,0.012671748876433374,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,126,0.011225260521441677,0.012498517559706454,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,128,0.01108864752983632,0.012332480523517235,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,130,0.01095653439705209,0.012169748012234718,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,132,0.01082837311065278,0.012011975134949303,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,134,0.010702931820980652,0.0118588355741061,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,136,0.010580518385506275,0.011710895522497598,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,138,0.010461481491148611,0.011565924634805541,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,139,0.010403061911778564,0.011495175111395547,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,0,0.07873860573832092,0.44742763902597066,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,2,0.07218057371091523,0.3422676020583823,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,4,0.06744390484749788,0.2608177641133457,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,6,0.060453787922727695,0.20000068409875815,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,8,0.05580880601617104,0.16146009076111292,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,10,0.051879575702264445,0.13440968268021258,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,12,0.048566455721865714,0.11521551545737968,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,14,0.04536148214537146,0.09924175610597845,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,16,0.04310889898134747,0.08822897893543621,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,18,0.04117507672637524,0.07957275562533804,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,20,0.039162223821141144,0.07219926255973746,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,22,0.03695884914141393,0.065468079586044,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,24,0.035279522812929405,0.06031556917133474,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,26,0.03400563023193651,0.0564545376055947,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,28,0.03235545519543643,0.05239058135115789,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,30,0.030884478847519062,0.04890986785114443,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,32,0.029684685225913655,0.045948474493508897,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,34,0.028481234845409435,0.043223843818772915,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,36,0.02748135676183958,0.04095594813048761,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,38,0.026568478696224865,0.03893316276917979,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,40,0.025626639977955556,0.03700372438992023,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,42,0.02502354298583616,0.03563049884064937,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,44,0.024288905887435125,0.034148698980904245,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,46,0.023526977082718094,0.032676675319818736,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,48,0.022973953338408275,0.03153323135229938,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,50,0.022296853606243908,0.030295216765084836,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,52,0.021733043195510317,0.02925659068218214,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,54,0.02127602865755989,0.028392412572156484,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,56,0.020703482807135607,0.02740575878637761,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,58,0.02016661923448651,0.026487698796914278,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,60,0.019722898463184223,0.025721284411260637,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,62,0.019244755497744733,0.024918823545769617,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,64,0.01879000216835905,0.024173247103928246,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,66,0.018475157685948342,0.023629877170422097,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,68,0.018060648714998333,0.02296354608464395,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,70,0.017665329957668705,0.022337632812987337,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,72,0.017398628625180195,0.02188484791005434,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,74,0.017088415195709958,0.021389419113464654,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,76,0.016736313032000003,0.02085890076044473,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,78,0.016401903558300623,0.020354316956905844,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,80,0.016083667880419702,0.019873457457674482,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,82,0.0157810380278106,0.01941287661489896,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,84,0.01548988352508533,0.018978642989207806,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,86,0.015210626366355822,0.018563738133572618,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,88,0.014944256125573766,0.018166371732754368,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,90,0.014686745296965472,0.017789571332936793,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,92,0.014438120779875526,0.017431785631295414,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,94,0.014243087752572256,0.017135566003071874,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,96,0.014012697545813186,0.016801931463594603,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,98,0.013790164168817136,0.016484859295475038,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,100,0.013575772532539625,0.016178819662214333,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,102,0.013368936582604903,0.015885893174070242,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,104,0.013167698952501805,0.01560578631853617,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,106,0.012973460396987768,0.01533574911988315,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,108,0.012786096219793382,0.015075569877268697,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,110,0.0126052400075694,0.014824217956144197,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,112,0.012430327084178785,0.014582802703476715,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,114,0.012259073208473503,0.014350290708112818,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,116,0.01209330211772253,0.014125749853466001,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,118,0.011934409015972208,0.013907640663190399,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,120,0.011779183158172439,0.013697999972054085,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,122,0.011628378684711931,0.013495160466169515,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,124,0.011481327677320899,0.013298916312172015,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,126,0.011338348444979557,0.013109928367668186,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,128,0.011231762151494774,0.012962128360926169,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,130,0.01109616413225708,0.01278244026765343,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,132,0.010964320515205522,0.012608008975037336,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,134,0.010835575065532574,0.012440240402350585,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,136,0.010710381448641863,0.012276332409590827,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,138,0.010588039020362447,0.012117907581709341,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,139,0.010557323267657199,0.012073799483016803,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,0,0.08055764122949975,0.6656321390283945,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,2,0.07818048152687755,0.5652416267372629,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,4,0.07354834029358931,0.4481241969790202,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,6,0.07144755836406008,0.34523948849444347,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,8,0.06929353596509809,0.27384029371078694,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,10,0.06672555693585186,0.2218313380525296,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,12,0.06303165388128369,0.17835333716311266,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,14,0.05816956724030821,0.1474528815917507,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,16,0.054861187451615334,0.12651861647371032,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,18,0.051603909777706104,0.11020764197048573,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,20,0.048828779801079636,0.09795988977075105,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,22,0.04679822303652337,0.08885053422896183,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,24,0.044353954397693886,0.08044161051585855,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,26,0.042520808895558704,0.0739870288525387,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,28,0.04063670956777102,0.06803469428197775,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,30,0.03870229620130282,0.06261410117920493,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,32,0.036910411508679276,0.05817923858197496,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,34,0.03509117840529196,0.053922463376140775,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,36,0.0335698546514092,0.05043890180207291,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,38,0.03243801102182073,0.04769042438569543,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,40,0.03105810204441572,0.04484868829153557,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,42,0.02980449392157157,0.04233198538190051,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,44,0.028650889221522886,0.04011593405239134,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,46,0.027772011109831785,0.03837860092890081,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,48,0.02686987697529905,0.03668466672442489,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,50,0.02595235121978312,0.0350254480648693,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,52,0.025177026218842703,0.03365602505852268,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,54,0.024394860954414,0.03226180720400208,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,56,0.023654282431565102,0.030993109749676943,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,58,0.023039324287059994,0.029921082066496782,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,60,0.022456563659351496,0.028928602554159633,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,62,0.021985489909912732,0.028091469845626736,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,64,0.02139088968118798,0.027155682607533572,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,66,0.020894759683831476,0.026369044078792734,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,68,0.020372766161471555,0.025538188102131053,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,70,0.019870981329275055,0.024769267174214585,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,72,0.019399898971634813,0.024049607038383245,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,74,0.018950460934701527,0.02337277759037326,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,76,0.018528025028356935,0.02273048039565696,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,78,0.018124525714190716,0.022130240504539954,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,80,0.017737681751175953,0.021562209052256493,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,82,0.017422073169102593,0.021093324201075153,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,84,0.017068532507771104,0.020581577219046493,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,86,0.01672979255100756,0.02009884159514541,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,88,0.016406792125497238,0.01963823753537849,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,90,0.01609404947821216,0.01920563330342071,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,92,0.015798573293762403,0.01878563585986843,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,94,0.015516479096199215,0.018385090199881517,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,96,0.015241745989430209,0.018005849401936284,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,98,0.014978377101819106,0.017642275362816234,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,100,0.014770739366032692,0.017344361792010696,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,102,0.014525635644173118,0.017009289258086244,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,104,0.014291171000743693,0.016687987428132378,0
