experiment,game,method,seed,success,final_reward_mean,final_coop_min,final_coop_mean
ablation,stag_hunt,standard_pg,50,0,1.992749017980206,0.007408790476516148,0.007415971777285198
ablation,stag_hunt,standard_pg,51,0,1.992717636113969,0.0074069140722056205,0.007448813067811063
ablation,stag_hunt,standard_pg,52,0,1.9933897434179013,0.006728976263649172,0.006746814130254674
ablation,stag_hunt,standard_pg,53,0,1.9924050582524926,0.00776170779273813,0.007776356253520333
ablation,stag_hunt,standard_pg,54,0,1.9929639410250823,0.0071783180096785205,0.007191198484111456
ablation,stag_hunt,standard_pg,55,0,1.9926115053187086,0.007465405286912638,0.00755992529038715
ablation,stag_hunt,standard_pg,56,0,1.9935989731555983,0.006291390259894843,0.006528730831574346
ablation,stag_hunt,standard_pg,57,1,3.9327076249553414,0.9860102796588485,0.986431163278903
ablation,stag_hunt,standard_pg,58,1,3.9073457722778806,0.9810488801981524,0.9812584330028988
ablation,stag_hunt,standard_pg,59,1,3.8879371967631227,0.976841025232631,0.9772777740716707
ablation,stag_hunt,standard_pg,60,0,1.9932397401929904,0.006703288264963669,0.006903098334672189
ablation,stag_hunt,standard_pg,61,1,3.9355385568947376,0.9858020317101862,0.987007296775018
ablation,stag_hunt,standard_pg,62,0,1.993502670626564,0.006241956103487933,0.006628699638440892
ablation,stag_hunt,standard_pg,63,1,3.9261195207320627,0.9835611755981087,0.985091960339659
ablation,stag_hunt,standard_pg,64,1,3.904355928899968,0.9802849113124922,0.9806465301640963
ablation,stag_hunt,standard_pg,65,0,1.992104322526297,0.008091487047835248,0.008092124930136984
ablation,stag_hunt,standard_pg,66,0,1.9923216704104139,0.007851013754458585,0.007863849481312848
ablation,stag_hunt,standard_pg,67,1,3.9250953730532103,0.9843204388272517,0.9848821339878575
ablation,stag_hunt,standard_pg,68,0,1.9925092368469346,0.007633656905071096,0.007667113692098234
ablation,stag_hunt,standard_pg,69,1,3.9047358652262285,0.9793864926620726,0.980725341068114
ablation,stag_hunt,standard_pg,70,1,3.9301725436145354,0.9856759405992983,0.9859155196090381
ablation,stag_hunt,standard_pg,71,0,1.9929250349449834,0.007016041026528121,0.007231718773606469
ablation,stag_hunt,standard_pg,72,0,1.9932166238832187,0.006905754608397631,0.00692733878716763
ablation,stag_hunt,standard_pg,73,0,1.9924095594143443,0.007722438052725,0.007771627928710988
ablation,stag_hunt,standard_pg,74,0,1.9933976296150502,0.006668155886898118,0.0067385809245209686
ablation,stag_hunt,standard_pg,75,1,3.887786242203045,0.9761957690403307,0.9772473006759593
ablation,stag_hunt,standard_pg,76,1,3.9150888296015074,0.9823272355024507,0.9828412712771373
ablation,stag_hunt,standard_pg,77,0,1.9909836897175834,0.009273173027910649,0.009274351039886632
ablation,stag_hunt,standard_pg,78,0,1.9937842032215696,0.006259278990460429,0.006336222151125838
ablation,stag_hunt,standard_pg,79,0,1.9905876152480693,0.009672579134512737,0.009694323030604867
ablation,stag_hunt,standard_pg,80,1,3.9129451981826557,0.9817647271707417,0.9824035024205857
ablation,stag_hunt,standard_pg,81,0,1.99280282525648,0.007323455647162926,0.007359664808489919
ablation,stag_hunt,standard_pg,82,0,1.992925221540128,0.0070819760016201765,0.007231599387503271
ablation,stag_hunt,standard_pg,83,0,1.9931243839115342,0.00701123828098168,0.007023608874225376
ablation,stag_hunt,standard_pg,84,0,1.99293193700736,0.00720475435153957,0.007224648440586005
