game,method,seed,step,reward_p1,reward_p2,coop_p1,coop_p2,base_norm,own_norm,peer_norm,lr_step,lambda_step
stag_hunt,standard_pg,1000,120,1.986490501347423,1.986687559752173,0.01403171448451268,0.013966028349595995,0.039694888378924105,0.0005955132753837288,1.1102599722859507e-07,0.2798311806860547,1.5
stag_hunt,standard_pg,1000,130,1.9873702841572012,1.9875629867717377,0.01307589930594745,0.013011665101101914,0.03698731498120649,0.0005180922454154178,1.4254888703692174e-07,0.2748981270375992,1.5
stag_hunt,standard_pg,1000,140,1.9881730562591688,1.9883367539105739,0.012218233446575067,0.012163667562773393,0.03454860561654836,0.0004528116336846449,5.703858243416597e-08,0.270383762581522,1.5
stag_hunt,standard_pg,1000,150,1.9888353772557412,1.9889885661101263,0.01150918041619167,0.011458117464729991,0.03257154972317028,0.00040307294515006816,1.0850951805723877e-06,0.2662279901938942,1.5
stag_hunt,standard_pg,1000,160,1.989452659253833,1.9895818186868954,0.010856474501527935,0.01081342135717384,0.03067831247466533,0.0003580483917167971,1.4690885772824147e-07,0.26238244113698533,1.5
stag_hunt,standard_pg,1000,170,1.9899956538400048,1.9901103205338284,0.010282110289121047,0.010243888057846474,0.029048178492295136,0.0003213885627085935,2.5386942310821265e-07,0.25880764933108025,1.5
stag_hunt,standard_pg,1000,180,1.9904782013612858,1.990582980928673,0.009772344314442344,0.009737417791979942,0.02761943621770256,0.00029087760997774696,1.7007562636316476e-06,0.25547102190393156,1.5
stag_hunt,standard_pg,1000,190,1.990913328673464,1.9910050298088484,0.009315590722700358,0.009285023677572201,0.026273860730870336,0.0002634828262895187,1.01277561125165e-06,0.2523453524034575,1.5
stag_hunt,standard_pg,1000,200,1.9913025150083237,1.9913909657949953,0.008905117061126856,0.008875633465569615,0.025174370954617793,0.00024206879725788004,8.172558246157265e-08,0.24940771224216296,1.5
stag_hunt,standard_pg,1000,210,1.991656954457027,1.9917402824568555,0.008532994490596267,0.008505218490653457,0.024038418279810077,0.00022088666590579163,2.843067323766536e-06,0.24663861108080362,1.5
stag_hunt,standard_pg,1000,220,1.991980534768942,1.9920593020642452,0.008193988384594631,0.008167732619493608,0.023094910235547585,0.00020405467964575036,1.266637093635475e-07,0.24402135188322105,1.5
stag_hunt,standard_pg,1000,230,1.9922793828804262,1.9923491677511989,0.007883241872215244,0.007859980248624367,0.022305134936884075,0.0001904362801762403,7.54014955232725e-09,0.24154152916438887,1.5
stag_hunt,standard_pg,1000,240,1.9925529689723085,1.9926178147343454,0.007598117224027982,0.007576501970015711,0.021467450783051605,0.00017649970798766921,2.4131020136740766e-08,0.2391866341072862,1.5
stag_hunt,standard_pg,1000,250,1.9928030545593005,1.9928679886013956,0.007336287738531805,0.007314643057833428,0.02065591596075272,0.00016350456095147993,3.0740757474380686e-06,0.2369457404987882,1.5
stag_hunt,standard_pg,1000,259,1.9930144831521146,1.9930753319205954,0.007116745060661296,0.007096462137834387,0.020115218454138828,0.00015512583938344238,3.2456529228405294e-07,0.2350184524722088,1.5
stag_hunt,standard_pg,1037,0,1.0932369585554387,2.7001199280032875,0.6895520642138535,0.15392440773123728,0.31067111037772166,0.02308634634874084,0.016924197863398653,0.5178959436034413,1.5
stag_hunt,standard_pg,1037,10,1.6576436527844143,2.139021070600373,0.26493366551395375,0.10447452624196747,0.44188959009620365,0.03881564772153104,0.004112701464742306,0.4385259625377816,1.5
stag_hunt,standard_pg,1037,20,1.8696609133129052,1.9996549186560486,0.1079178811906154,0.06458654607623433,0.2290926238176532,0.018007105584558186,0.0009820869993214527,0.3978628674337284,1.5
stag_hunt,standard_pg,1037,30,1.9267839880731321,1.9814802039105632,0.0636596516929161,0.04542757974710571,0.14310736605590477,0.0073642959377910955,0.0003041802569789032,0.3713198031281318,1.5
stag_hunt,standard_pg,1037,40,1.9484736518291867,1.979384763007445,0.04619717548574859,0.03589347175966249,0.10316205462115993,0.003892912849662824,0.0002571573823657864,0.3519570819976834,1.5
